职位名称,薪资,所在地,职位简介,职位详情,经验要求,学历要求,招聘人数,公司名称,类型,规模,领域,公司详情
数据分析师,0.7-1.2万/月,合肥,|五险一金|周末双休|餐饮补贴|员工旅游|定期体检|绩效奖金|年终奖金|股票期权,|岗位职责：|1、负责大气监测站多仪器的数据联合分析；|2、提交数据分析报告及数据联合应用研究，根据气象条件，预测当地污染状况。|任职要求：|1、硕士及以上学历，应用气象学、大气科学、环境光学、环境工程、应用物理等相关专业，2年以上工作经验；|2、参与过大气污染防治、大气颗粒物来源解析、空气质量预报预警、超级站数据分析、激光雷达数据分析者优先考虑；|3、良好的沟通能力，踏实肯干，做事积极主动，有强烈的责任感和良好的团队合作精神；|4、应聘者应能承受一定工作压力，接受出差，需要有驾照。|职能类别：大数据开发工程师,2年经验,硕士,2,合肥光博量子科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,合肥光博量子科技有限公司是国家高新技术企业，是中科院合肥技术创新工程院重点扶持企业。公司坚持以技术创新成果转移转化为核心，开展工程化研发、技术转移、技术服务等工作，真正践行“用科技融入理想，让创新点缀世界”。主要方向：致力于环境气象大气综合立体观测及相关技术咨询与服务。发展目标：专注于用最先进的激光雷达立体探测技术、卫星遥感技术获取多维度监测数据为基础，以预报预警为核心技术手段，构建大气污染三维实况分布及未来预测分布，为环境、气象、生态、交通、海洋、科研院等管理及科研工作者提供科学的整体解决方案。主要优势：合肥光博量子科技有限公司是一家***高新技术企业，公司技术力量雄厚，团队成员主要由环境光学、大气科学、环境科学、气象学和卫星遥感等领域的博士组成。公司与中科院安徽光机所、南京大学、中国科技大学、安徽省环境科学研究院、安徽省气科所等科研院所及高校建立了良好的产学研合作关系。公司是一家中科院博士团队共同创办的高新技术企业，获得多项国家专利，2018年以环境气象立体探测装备研制与应用开发，成功入选安徽省2018年高层次科技人才团队。目前，我们已服务于全国多个省市，并为青岛上合峰会、金砖会议、中央气象台冬季雾霾会商、2022北京冬奥气象保障等大型社会活动保驾护航。科技创造新的智慧，智慧孕育创新科技。我们秉承“合作、创新、专注、责任”，在做大做强的航程中，全力以赴打造一个让客户信赖、社会尊重的大气立体探测综合服务商。
（非销售）8K聘金融外汇交易员数据分析师双休五险,6-8千/月,西安,|绩效奖金|全勤奖|五险一金|周末双休|做五休二|节日福利|弹性工作|带薪年假,"|如果，你的月薪低于3000，那么，在西安，你只能“蜗居”;如果，你奋斗8年，仍无房无车，那么，西安并不适合你！既然，你还是坚定的选择了西安，那么，你除了奋斗还是奋斗，别无他选！如果你向往宽敞舒适的工作环境，如果你向往无需风吹日晒的职场白领工作，请加入我们！|一、岗位要求：|1、18-35周岁,学历不限、性别不限、专业不限；|2、性格开朗，诚实守信、踏实勤奋，工作积极主动；|3、沟通表达能力强，较强的团队意识和协作精神；|4、有强烈的上进心。|二、工作内容：|1、对金融行业有较强的兴趣，立志成为交易市场内的一员。|2、有较强的学习能力、风险控制能力。|3、对数字及图形有较强的反应。|4、有较强的执行力和责任心。薪资待遇：（零基础面试通过公司组织免费培训）|     初级交易员：5000底薪+提成30%+节假日福利+年终奖+五险一金|     中级交易员：8000底薪+提成40%+节假日福利+年终奖+五险一金|     高级交易员：12000底薪+提成50%+节假日福利+年终奖+五险一金|福利待遇：|1、每月享有带薪病假，休息时也会有工资拿；|2、弹性的工作时间，让你工作自由安排；|3、各种高端大气上档次的团队建设；|4、最重要的是来到这里，你将拥有***阔的职业发展空间，最充足的资源支持，最人性化的管理；|工作时间：上午9：30—12：00 下午1：30—6：30周末双休 法定节假日正常休息| 联系人：王***| 电  话：18192251165|地址：未央区凤城二路市图书馆地铁口A口出，经发大厦座802|职能类别：销售代表证券/期货/外汇经纪人|关键字：绩效奖金全勤奖五险一金周末双休弹性工作带薪年假法定节假日销售代表股票交易分析师",在校生/应届生,高中,8,西安嘉恒玖富网络科技有限公司,外资（欧美）,少于50人,金融/投资/证券,嘉恒玖富科技有限公司在不断变化的商业环境中，对于在线智能交易系统方面一直处于领先地位。近期，来自世全球30多个国家，超过100家机构，已经选择了嘉恒玖富公司的软件系统来满足和调整不同的交易需求和软件产业。嘉恒玖富在设计和发展在线交易系统的过程中，应用最新的信息技术、开发工具以及高度适应性地软件工程管理。我们的软件产品对使用错误率，可信度，使用率，柔性，生产效率和费用效力方面都具有一定的标准。企业价值观：“以客户为中心，以奋斗者为本”核心价值观：一、成就客户：为客户服务是和信存在的***理由，客户需求是和信发展的原动力。二、艰苦奋斗：嘉恒玖富没有任何稀缺的资源可依赖，唯有艰苦奋斗才能赢得客户的尊重和信赖。坚持奋斗者为本，使奋斗者获得合理的回报。三、自我批判：只有坚持自我批判，才能倾听、扬弃和持续超越，才能更容易尊重他人和与他人合作，实现客户、公司、团队和个人的共同发展。四、开放进取：积极进取，勇于开拓，坚持开放与创新。五、至诚守信：诚信是和信最重要的无形资产，和信坚持以诚信赢得客户。六、团队合作：胜则举杯相庆，败则拼死相救。愿景使命一、愿景：丰富人们的沟通和生活。二、使命：为客户提供有效投资解决方案和服务，持续为客户创造***价值。三、战略：以客户为中心。为客户服务是和信存在的***理由；客户需求是和信发展的原动力；技术强、服务好、运作成本低，优先满足客户需求，提升客户投资意识和盈利能力；持续管理变革，实现高效的流程化运作，与友商共同发展，既是竞争对手，也是合作伙伴，共同创造良好的生存空间，共享价值链的利益。
数据分析,1.5-3万/月,南京,|五险一金|餐饮补贴|年终奖金|股票期权|专业培训|交通补贴,|1、基于数据分析，拆解现有产品业务，发现业务洼地，能够提供清晰实用的分析和业务优化方法，数据驱动业务的快速迭代，辅助业务管理团队科学决策，协助团队商业目标的达成；    |2、构建业务分析体系，监控运营状况；针对重点问题，精准定位深入分析，点对点的组织专项分析，从发现问题到解决问题，独立分析并提供解决问题的建议；跨部门沟通，负责所需数据的提取、查询、分析等工作，对于具体的场景，运用数据分析，与大数据算法、数仓同事深度合作，解决业务的核心痛点和难点；   |3、从指标体系监控，多维分析，实验评估，能够帮助业务看清业务发展的趋势，及时发现存在的问题和机会，进行分析并给出预期诊断，提示可能性风险及策略方法。深入理解产品和业务方向及策略，持续监控运营和产品改进效果，为业务部门提供业务优化建议。||任职要求：|1、本科及以上学历，计算机、数学、统计等专业    |2、3年以上相关工作经验（数据/业务分析、决策支持、数据挖掘），有产品、运营、用户相关业务分析经验    |3、大数据提取处理能力，至少熟悉hive/oracle/mysql中一种数据库，熟练应用R或Python等数据挖掘工具，有专题分析经验与能力，以及报告撰写能力，能独立完成数据分析报告    |4、具备较好沟通能力，理解能力，数据敏感度，团队合作精神，资源整合及协调能力，抗压能力，较强学习能力。|职能类别：数据分析师,3-4年经验,本科,2,T3出行,民营公司,150-500人,互联网/电子商务,南京领行科技股份有限公司是由中国一汽、东风汽车、长安汽车、苏宁、腾讯、阿里联合国内多家知名投资机构组建的规模超百亿的企业。以”成为最值得信赖的出行服务企业“为愿景，“科技引领愉悦出行”为使命。南京领行致力于成为能够为客户和政府提供“安全、便捷、品质”出行服务的科技创新型企业。通过整合出行服务生态链资源，借助功能强大的出行平台、与地方交通企业紧密结合的线下运营、充分整合的（停车、充电、维保等）服务支持资源、定制化的产品、投融资能力、市场化的组织及人才管理方式，保障公司具备行业领先优势。未来，通过自身的不断努力，在提升交通安全、降低城市拥堵和资源浪费等方面为公共出行行业提供强大的支撑，积极构建智慧出行新生态，为社会公众提供完美的出行服务体验，为打造和谐社会做成贡献。公司网址：www.t3go.cn
数据分析师,1-3万/月,北京,,"|1、   负责研究机器日志数据、交易数据、社交数据等领域的数据挖掘分析工作，刻画用户行为标签并进行行为预测；|2、   研究分析数据挖掘中的机器学习和深度学习算法，建立数据分析模型并应用到实际业务中；|3、   和产品研发团队其他成员协作，共同完成相关领域数据挖掘分析的落地实现；|4、   和业务部门进行数据挖掘分析的需求和技术方案沟通交流；|岗位要求：|1、   本科及以上学历，英语四级及以上，具备1年以上数据挖掘相关工作经验，数据专业、统计专业优先；|2、   精通机器学习算法，熟悉数理统计过程，对聚类、分类、关联等主流数据挖掘算法有深刻理解和实践，具备独立数据建模能力；|3、   熟悉Java/Python/Scala等语言，熟悉Hadoop/Spark机器学习算法，熟悉R语言工具，了解推荐系统设计和实现；|4、   有较强的学习能力和自我管理能力，善于团队协作、强烈的责任心，能够在压力环境下工作；|5、   有良好的表达和沟通能力,能够与客户进行良好的需求和方案交流；||职能类别：系统分析员数据库工程师(DBA)|关键字：数据工程师数据挖掘数据大数据云计算人工智能",2年经验,本科,3,北京恒通博联科技有限公司,民营公司,50-150人,计算机软件,北京恒通博联科技有限公司是一家高新技术企业，拥有领先的互联网数据采集、统计、挖掘和信息推送等技术，公司的业务主要集中在网络流量深度分析控制和用户行为分析控制、非法IP电话监测、非法共享接入监测、P2P监测及控制、新媒体通信技术的产品销售和服务提供。公司的创始人均来自知名软件公司、中国科学院，大型网络通信技术企业和电信运营企业，积累了多年的高性能网络通信技术研究开发、电信运营、互联网增值开发及应用的成功经验。
临床数据分析专员,1-1.5万/月,广州,|绩效奖金|餐饮补贴|员工旅游|专业培训|股票期权|定期体检|项目奖金|做五休二|交通便利|六险一金,||岗位职责|1、根据客户需求制定数据挖掘、统计分析解决方案，参与实施过程中算法研究和实现，并进行过程质控；|2、为医学大数据科研项目提供前置性数据评估和支持；|3、根据临床研究相关指南和规范，协助建立和完善公司内部相关流程规范，形成SOP；|4、参与临床试验早期设计、需求沟通和方案制定，根据相关指南要求和SOP制定统计分析计划，编写统计分析程序；|5、协助CRF表的设计和审阅，准备随机说明和产生随机计划；|6、试验终点对分析数据集、数据列表等进行质量控制和同级审阅，并完成统计分析、产生统计结果，撰写报告等工作。||任职要求：|1、本科及以上学历，卫生统计学、流行病学、公共卫生或预防医学相关专业；|2、有2年以上CRO、药物研发相关统计分析经验，熟悉CFDA和ICH关于临床试验生物统计方面相关指南和要求，能独立进行统计分析和报告撰写工作；|3、熟练应用SAS、R等至少一种编程语言，熟悉临床试验常用的统计方法；|4、良好的逻辑能力，熟练的口头和书面表达能力，有较好的的演讲技能。|职能类别：临床数据分析员|关键字：临床数据分析SASR临床试验,2年经验,本科,若干,广州天鹏计算机科技有限公司,民营公司,150-500人,计算机软件,"公司介绍广州天鹏计算机科技有限公司成立于2007年，是一家专注于建设医疗专科大数据分析和管理云平台，并提供医学智能化数据应用服务的国家高新技术企业。公司积极参与国家医疗行业大数据的标准化、专科化、体系化和产业化建设，通过统一技术框架和应用平台，推动从医院到区域、从数据到产业的体系建设，为医疗机构、专科医联体、地区专科大数据质控中心、医保机构等开展科研、临床和管理工作，提供高质量和高效率的数据服务。公司通过了国家信息安全等级保护三级认证和ISO27001信息安全认证，已申请和获得60多项发明专利和软著。公司依托以钟南山院士领衔的国家呼吸系统疾病临床医学研究中心及全国高水平医院，建立国家呼吸疾病数据标准及诊疗规范体系；打造国家呼吸疾病大数据云平台及地区专科大数据质控中心；通过建立临床科研管理一体化的长效机制和地区专科疾病临床精准诊、治、防的应用示范，构建了专科大数据产业体系。公司牵头打造的首个全国性专科大数据平台已在广州、深圳、成都、青岛、武汉、江苏、云南、新疆等20个省市落地。公司本科及以上员工占比80%，其中经理级以上管理团队拥有硕士及以上占比35%。公司为员工提供具有竞争力的薪酬，并为核心员工提供股权激励。工作时间为9:00-12:00,13:30-18:00,周末双休。公司福利【六险一金】公司为正式员工购买六险一金（养老保险、失业保险、医疗保险、工伤保险、生育保险、重大疾病险及住房公积金）【工作补贴】公司额外为员工提供午餐补贴、加班餐补、全勤奖【爱心关怀】公司为员工发放生日礼金/礼物、传统节日礼金/礼物等，不定期举办团建、旅游、生日会、读书会等。每日供应下午茶、咖啡、水果、点心、加班爱心餐点、并为入职满半年的员工提供价值超人民币1000元的年度健康体检等【商业保险】员工试用期起即可享受公司免费提供的商业保险【丰富假期】国家法定节假日、带薪年假（根据工龄而非司龄计算）、婚假、产假、陪产假、带薪病假等【内部培训】针对员工及团队发展各阶段提供专业带薪培训课程【发展空间】完善的员工职业生涯规划，保障员工在公司及未来的发展【工作环境】公司为员工提供CBD甲级写字楼宽敞明亮、舒适的工作环境，互助友爱的人文环境"
数据分析师（风控运营方向）,10-15万/年,杭州,|交通补贴|通讯补贴|年终奖金|五险|节日福利|高温补贴|做六休一|餐费补贴,||职能类别：数据库工程师(DBA)|关键字：数据建模SQLR风控,3-4年经验,本科,1,浙江联运环境工程股份有限公司,上市公司,1000-5000人,环保,浙江联运环境工程股份有限公司（简称：联运环境）是一家致力于环境产业项目策划、建设、运营和维护的现代化、专业型上市企业，证券代码：839166。本公司成立于1996年，坐落在杭州市余杭区（临平）余杭经济开发区。公司于2016年11月挂牌上市。本公司是一家专业从事智能垃圾分类工程项目、技术开发、技术服务、技术咨询：计算机嵌入式设备的硬件、技术按揭网络工程技术、数据库应用技术、机电产品；计算机系统集成；环境工程施工项目、道路保洁工程项目、生活垃圾清运、城镇建筑垃圾清运、垃圾清理、河道保洁服务、物业管理服务、劳务派遣、园林绿化养护、市政下水道管网养护、市政设施维护、市政工程机械设备销售、安装及租赁等业务的公司。本公司持有国家专利120余项，项目洽谈落地安装运行售后服务。是发展健康新农村建设和生态环境环保行业的企业，公司飞速发展，诚邀各方有识之士加盟！
销售业务-数据分析岗,4.5-6千/月,烟台,|带薪年假|五险一金|交通补贴|高温补贴|餐饮补贴|节日福利|专业培训|绩效奖金|加班补贴,|1、深入理解集团相关业务的方向和需求，应用先进的统计建模、数据挖掘、机器学习等方法建立数据模型，提供决策建议；|2、指导供应商及客户进行业务数据分析；|3、参与规划集团相关业务数据分析平台建设。根据集团统一报价完成本部门在月初下达的销售计划。|4、根据本区域市场的需求情况，保证市场的连续性，协助销售集团工厂产品，资源共享。 /5、掌握市场动态并及时反馈市场信息，在报告中及时准确反馈养殖业的存栏、市场价格、同行厂家的库存、销售策略等情况。 /6、在实际货物与合同要求不相符时，要与客户、品管部沟通并处理该问题，保证后期销售的衔接。 |职能类别：销售代表|关键字：业务员大数据数据分析,2年经验,本科,2,益海(烟台)粮油工业有限公司,外资（非欧美）,150-500人,快速消费品(食品、饮料、化妆品),益海嘉里简介益海嘉里集团，是以益海嘉里金龙鱼粮油食品股份有限公司为核心的企业集团的简称，是著名爱国华侨郭鹤年先生和他的侄子郭孔丰先生共同投资的新加坡丰益国际集团在祖国大陆投资的一系列粮油食品加工、销售等业务的统称。关于丰益国际丰益国际的业务可以追溯至1991年，是亚洲领航的综合型农业集团，2019年世界500强企业位列第258位。丰益国际业务范围包括棕榈种植、油籽压榨、食用油精炼、食糖加工和提炼、消费产品、专用油脂、油脂科技、棕榈生物柴油和化肥制造，以及面粉、大米加工等。丰益国际的策略核心是集成的农业模式，涵盖农业大宗商品业务的整个价值链，贯穿农产品栽培、加工、生产与销售，并对生产多种农产品相关的商品均有涉及。丰益国际高质量的农产品是消费者和食品生产行业的佳选。丰益国际提倡可持续发展，致力于成为保护环境、造福社会、世界担当的企业公民。丰益国际在30多个国家和地区拥有超过900家工厂，大部分位于亚洲、非洲“一带一路”沿线，销售网络遍及50多个国家，员工超过9.3万名。关于益海嘉里截至目前，益海嘉里在祖国的总投资已超过300亿元***，现有员工2.7万人，在全国26个省、自治区、直辖市，建成和在建生产基地70多个，生产型实体企业100多家，拥有300个以上的综合加工车间，主要涉足油籽压榨、食用油精炼、专用油脂、油脂科技、玉米深加工、大豆精深加工、水稻循环经济、小麦深加工、食品原辅料、粮油科技研发等产业。益海嘉里旗下拥有“金龙鱼”、“欧丽薇兰”、“胡姬花”、“香满园”、“海皇”、“丰苑”、“金味”、“锐龙”、“洁劲100”等知名品牌，产品涵盖了小包装食用油、大米、面粉、挂面、米粉、豆奶、餐饮专用粮油、食品原辅料、油脂科技等诸多领域。与此同时集团在国内建立了网点广泛、点面结合、渠道畅通的营销网络，为广大消费者提供全方位服务。展望未来，益海嘉里将继续响应国家产业和经济政策，发挥自身的品牌、规模、研发、人才等优势，秉承营养、健康、安全的研发理念，把国内外食品、营养等学科的最新研究成果与中国人民的膳食特点相结合，持续不断地为国人提供更营养、更健康、更安全的优质粮油产品，以实业报国，为推动中国粮油行业发展做贡献。
数据分析师（6k+提成+双休）,0.6-2万/月,广州,|五险一金|补充医疗保险|补充公积金|专业培训|出国机会|弹性工作|年终奖金|绩效奖金|股票期权|定期体检,|公司致力于为年轻人提供一个实现自我提升的平台，如果你对自己的能力有足够的自信，相信凭借自己的努力可以获得自己想要的未来，那么我司将会是你***的选择，这不是一份死工资的工作，你能拿到多少完全取决于你的努力！！|因公司招聘岗位数量有限，请各位珍惜面试机会，投递简历后按预约时间准时到达公司面试。本公司所有职位限投一次简历，请勿选择多个职位或向公司其它招聘渠道重复投递，否则将会对您的录用带来不便。|一、岗位要求：|1、专业性别不限，对金融行业及技术投资领域有着浓厚的兴趣，专业对口者优先；|2、对于具备优异条件或者志同道合的学员，可以适当放宽年龄或学历限制；|3、勤奋好学，品性优良、身心健康；敢于挑战高薪者，欢迎你的加入！|4、提供免费专业金融行业知识培训、实用的新闻分析解读技巧和管理能力培训、广阔的事业发展空间；|5、享有完善的奖励制度，公平公正的晋升空间。|二、岗位职责：|1、负责分析每日产品行情，利用技术指标及K线形态，判断行情走势；|2、利用公司提供的资源和技术培训，提高自身能力，为公司创造更多价值；|3、完成上级分配的每日工作任务及工作计划。|三、任职资格：|1、 22-40周岁，有无从业经验者均可，无从业经验者公司会提供免费的专业培训，更看重学习接受能力；|2、熟练操作电脑，热爱金融，对投资理财、数据分析感兴趣者；|3、可接受应届毕业生；|四、员工福利：|1、薪资待遇：公司具有完整的薪酬体系，高额的奖金提成、带薪年假、国际法定假期、团建旅游等员工待遇；|2、员工晋升制度：针对员工的自身发展和职位晋升，公司具有完善且透明的晋升制度、人才培养制度和定期的专业培训。确保员工能在公司发挥自己的能力，提升自身的同时能得到职位的晋升，为公司持续发展提供人才储备；|3、带薪休假：享受国家规定的（清明节、劳动节、端午节、中秋节、国庆、元旦、春节等）法定假日；|4、培训福利：公司遵循人才发展战略，注重外部人才选拔以及内部人才的培训与晋升，不断完善全面系统的培训体系，使每一位员工综合素质全面提升的同时，能够得到自我价值的实现。（新员工入职培训、金融专业培训、技术分析培训、职业发展培训等投资理财培训）；|5、丰富的团队活动：户外拓展、郊游、聚餐、卡拉OK、文体活动等；|公司名称： 广东兆丰恒业控股集团有限公司 |联系电话：13229921413|乘车路线：地铁3号线石牌桥站A出口向右前100米（公交BRT石牌桥站）  |地址：天河区天河路230号万菱国际中心39楼| 注：请携带身份证原件在楼下前台登记|（交通指南：地铁3号线石牌桥站A出口）|职能类别：证券分析师金融/经济研究员|关键字：数据分析金融黄金外汇投资理财期货股票证券,无需经验,中专,5,广东兆丰恒业控股集团有限公司,民营公司,150-500人,金融/投资/证券,兆丰恒业集团（前身是广东新时代总公司，为原广州军区后勤部属下企业），创立于1993年，后改为控股集团公司。集团曾从事房地产、酒店、期货、文化休闲等产业。目前专注于：互联网金融+科教文卫领域的投资经营，在中国香港、新西兰、北京、上海、天津、广州、哈尔滨、苏州、温州、西安、南宁等地均设有分公司。在互联网金融领域，提供各类交易平台和服务：天津兆丰恒业贵金属经营有限公司为天津贵金属交易所综合会员；广东兆丰恒业黄金有限公司为广东黄金协会副会长单位，广东贵金属交易中心综合会员；北京兆丰恒业石油化工投资管理有限公司为北京石油交易所综合会员；（新西兰）兆丰恒业集团有限公司（SAFUMAXGROUPLIMITED）作为一家跨国金融机构，全球领先的外汇交易商，拥有国际监管机构***别认证。受新西兰金融市场管理局（FMA）监管，同时在新西兰金融服务供货商(FSP)注册，注册牌照号：FSP327266。在科技领域，与中科院电子所合作，成立广东中科兆丰科技有限公司，利用中科院电子所十几年研发3D打印技术的成果，走产业化道路，占领广东3D打印事业的制高点。在教育传媒领域，与南方影视传媒集团、南方出版传媒股份有限公司（股票代码：601900）合作，成立广东现代教育传媒股份有限公司，运营广东广播电视台现代教育频道，是广东省***的教育频道。在文化传媒领域，兆丰恒业集团与中华报业集团合作成立中华新闻通讯社集团有限公司，运营中华新闻通讯社，中华新闻通讯社为香港政府批准的通讯社，为全球华人提供新闻、文化、经济等资讯。在卫生领域，设立广东省私人医生协会，致力于高端医疗服务的私人定制业务。
业务数据分析师,1-2万/月,上海,|周末双休|带薪年假|五险一金|加班补贴|补充医疗保险|年终奖金|定期体检,"|1.配合部门经理了解公司业务发展需求，通过建立合理的数据模型以及日常的数据分析，及时发现问题并提出合理的优化解决方案；| |2.通过建立以及优化电商网站的用户行为分析报表(Google)，给予技术部门网站优化的改善建议; 给予市场部门促销活动反馈和促销活动建议；给予SEM,头条,邮件,短信等第三方平台广告投放等投反馈以及投放建议;| |3.通过建立以及优化电商网站搜索引擎机制(elastic search)，如搜索结果默认排序，智能推荐等，改善检索页面用户点击通过率;|4.通过建立以及优化ERP业务分析数据报表,为公司各部门提供有指导性的战略方案。||任职要求：|1.本科及以上学历，计算机相关科系毕业；| |2.有电商公司用户行为分析体系搭建以及优化经验;| |3.有业务分析能力以及改善业务的经验;| |4.以下技能需精通2个以上：| |google相关工具, AB Test，SQL, Elastic Search，PHP/Python,Magento2,Excel| |5.具有较强的抗压能力，沟通能力，团队合作能力；工作责任心强，不斤斤计较;| |6.具备较强的文档阅读能力;|7.会英语或者日语进行日常沟通者优先。|职能类别：大数据开发工程师|关键字：数据分析电商googleSQLElasticSearchPHPPythonMagento2",3-4年经验,本科,1,卓易隆电子商务（上海）有限公司,外资（非欧美）,少于50人,互联网/电子商务,卓易隆电子商务（上海）有限公司是一家专业从事B2B的MRO工业品的电子商务平台，由日本***的MRO电商平台领域的领军上市公司株式会社MonotaRO以及住友商事株式会社共同出资成立的外资独资企业。公司致力于打通工业用品生产商与采购商之间的通道，充分利用现代网络技术为客户提供专业的市场营销服务，建立专业的一站式电子商务交易平台。依托母公司的1300万种以上商品的强大资源和先进技术优势，以及集团公司全球范围的销售资源优势，以改造MRO工业品供销产业链的方式降低成本改善效率，助力中国制造业的发展。卓易隆官网https://www.zoro.cn株式会社MonotaRO官网https://www.monotaro.com/住友商事株式会社官网http://www.sumitomocorp.co.jp/chinese/《企业理念》打造一站式电商平台引领工业品供应链改革，助力中国制造业转型升级，协同中国经济体全方位腾飞通过以制造业为核心的众多产业领域的改善效率及降低成本，致力于实现客户企业价值的增长致力于各行业从基层到高层的各类从业者的安全保护和自我价值的实现《愿景》引领互联网×各类产业的工业品供应链变革，支援实现社会产出价值，企业制造价值，以及所有企业人生存价值的***化《使命》储备充足货源以稳定提供高品质专业化种类繁多的商品，让所有的顾客放心满意精简一切多余支出，实现同类商品的低成本供应重视顾客时间资源，努力实现高效交期紧紧把握和顺应时代和技术的进步，持续不断锐意改革，追求为顾客提供更高价值的服务《公司名称卓易隆的含义》凭借先进的电商网站平台配以高水准的客服，全面提供高质量『卓』越的服务储备商品种类齐全，结合高效物流实现短交期，使得采购容『易』便利便捷持续不断追求高效率低成本实现价值***化，与顾客及供应商共同实现兴『隆』生意。竭诚欢迎有着共同理想的人才加入我们的团队。
数据分析师,0.6-1万/月,杭州,|五险一金|餐饮补贴|绩效奖金|通讯补贴|餐补|高温补贴|周末双休,|岗位要求：1. 负责基于公司的销售数据进行数据的分类、统计；|任职要求：|1.计算机、数学或统计学专业本科以上学历；|2、熟悉EXCEL各类函数、对PPT等办公软件有一定的经验；|3、对数据敏感、有较强的逻辑思维能力和独立专项分析能力；|4、具有良好的沟通能力，能清晰表达问题内容。|职能类别：数据分析师|关键字：数据分析统计数据处理,1年经验,大专,1,杭州车呗科技有限公司,创业公司,50-150人,计算机软件,杭州车呗科技有限公司，创立于2017年5月，总部位于杭州，是一家以“汽车金融”为核心、“互联网+汽车后市场服务”为发展战略，业务横跨互联网汽车金融、汽车服务、汽车消费等领域新型网络科技公司。有车宝是车呗科技在“互联网+”时代背景下推出的一站式汽车服务平台，通过移动互联网、大数据等全新的技术，结合金融产品、汽车工具、汽车交易等丰富的产品线，研发移动APP、web线上端口，融合微信简单易用的软件为线下落地服务商（城市合伙人、城市服务供应商）提供业务管理支持。平台同时打造全面的SaaS服务，为线下落地服务商提供业务行为、过程、协作、客户资源的一站式移动业务管理SaaS解决方案。有车宝目前已在浙江、江西、江苏、南昌、福建五省近20个城市建立城市营销服务中心。2017年，员工总数60余人，核心管理团队来自于一线互联网行业及汽车金融行业。
资深数据分析专员,0.8-1.2万/月,上海,|带薪年假|五险|全勤奖|节日福利|餐饮补贴,|职位描述：|1、负责项目组数据需求支持工作，并制作分析报告。|2、协助店长追踪销售，及时发现问题，给出解决方案。|3、通过数据表现，找出新的销售机会，给到合理建议。||任职资格：|1、大专及以上学历，统计、数学、计算机及电商相关专业毕业。|2、两年及以上电商数据类相关工作经验，家电行业优先考虑。|3、熟练运用OFFICE办公软件，掌握EXCEL的高级功能（函数、数据透视等）。 |4、对数据敏感，逻辑分析能力强，有想法。|5、有上进心、责任心，做事细心，良好的沟通协调能力。|职能类别：大数据开发工程师|关键字：数据分析,2年经验,大专,若干,北京兴长信达科技发展有限公司,民营公司,500-1000人,互联网/电子商务,北京兴长信达科技发展有限公司，创始于2000年，总部设在北京，致力于中国电子商务行业的开拓与实践，是国内领先的电子商务服务提供商。作为专业服务商，我们为企业提供全方位的电子商务服务，并成功服务于多家世界500强企业客户。客户包括：卡西欧、戴森、奔驰、宝马、Bose、科勒、魔声、富士、奥林巴斯、LG、雀巢等等。我们率先提出3s服务体系，即solution(解决方案：为企业量身定制电子商务解决方案)，service(服务支持：提供电子商务相关的系统规划、建设、运营、物流、仓储等服务支持)及satisfaction(客户满意：让客户对我们执行结果满意)；凭借公司10年来的实践与经验，我们自信在电子商务领域能够成为您值得信赖的合作伙伴。公司网址：www.ec3s.com北京总公司地址：北京市朝阳区广渠路29号九龙家园四号楼杭州分公司地址：杭州市西湖区古翠路76号浙江怡泰大厦1006电话：87716900
大数据分析师,1-1.5万/月,北京,,|岗位职责：负责项目前期相关资料的编写，负责项目招投标的组织和相关标书的编写；负责项目的阶段性的汇报工作，包括汇报材料的编写及组织工作；负责领导交办工作的组织和相关材料的编写；项目的管理工作，包含计划的制定和监督执行。岗位要求：国内外本科（含）以上学历，大数据相关专业|三年以上工作经验，二年以上大数据分析挖掘相关经验；|掌握大数据分析工作方法和流程，熟悉一、二种大数据分析挖掘开发语言|熟悉数据管理相关理论和方法|职能类别：软件工程师,3-4年经验,本科,1,上海浩方信息技术有限公司,民营公司,1000-5000人,计算机软件,上海浩方信息技术有限公司（以下简称浩方信息）是赛特斯信息科技股份有限公司的全资子公司。作为一家提供全方位产品研发及信息技术服务的企业，浩方信息构建了包括市场开拓、需求分析、架构涉及、项目管理、产品研发、项目实施，以及培训、软件技术支持到维护的完整流程体系，强化了软件技术+服务运营+产品创新的综合IT服务能力，业务范围包括：信息技术服务（ITO）、行业解决方案、咨询服务等，致力于为通信运营商、大中型企业以及高校、政府等行业客户提供全方位IT服务的整体能力，使客户能更聚焦其自身的核心业务规划与发展，提升客户整体商业价值，为客户创造***价值。公司总部位于上海，在北京、南京设有技术研发中心，形成了以长三角为主、覆盖全国的交付和销售服务网络。公司是国内领先的软件方案提供商，提供的业务交付包括云计算、高性能数据中心、IT节能、定制化操作系统、专业工具以及多种形式的软件外包。以灵活多样的交付模式为客户提供端到端的IT项目部署，在降低总成本的同时推动客户的业务发展和质量保障。凭借综合技术实力和对客户业务流程的精准把握，在多个行业提供专业化的咨询和解决方案，在电信、银行、服务业证明了自身坚实的质量基础和人员服务体系，浩方信息成为行业内战略型软件项目的最终合作伙伴。
